# Sample data series with data ranging from 23.02.2010 00:15 to 27.02.2010 23:45
20100225211500 337,000
20100225213000 337,000
20100225214500 338,000
20100225220000 339,000
20100225221500 339,000
20100225223000 340,000
20100225224500 340,000
20100225230000 341,000
20100225231500 342,000
20100225233000 343,000
20100225234500 343,000
20100226000000 344,000
20100226001500 345.000
20100226003000 345.000
20100226004500 346.000
20100226010000 346.000
20100226011500 347.000
20100226013000 348.000
20100226014500 348.000
20100226020000 348.000
20100226021500 349.000
20100226023000 350.000
20100226024500 350.000
20100226030000 351.000
20100226031500 351.000
20100226033000 352.000
20100226034500 353.000
20100226040000 353.000
20100226041500 354.000
20100226043000 355.000
20100226044500 356.000
20100226050000 357.000
20100226051500 358.000
20100226053000 359.000
20100226054500 360.000
20100226060000 361.000
20100226061500 361.000
20100226063000 362.000
20100226064500 363.000
20100226070000 363.000
20100226071500 364.000
20100226073000 364.000
20100226074500 365.000
20100226080000 365.000
20100226081500 365.000
20100226083000 365.000
20100226084500 366.000
20100226090000 366.000
20100226091500 367.000
20100226093000 367.000
20100226094500 367.000
20100226100000 368.000
20100226101500 368.000
20100226103000 369.000
20100226104500 369.000
20100226110000 370.000
20100226111500 370.000
20100226113000 371.000
20100226114500 371.000
20100226120000 372.000
20100226121500 373.000
20100226123000 373.000
20100226124500 373.000
20100226130000 374.000
20100226131500 374.000
20100226133000 375.000
20100226134500 375.000
20100226140000 376.000
20100226141500 376.000
20100226143000 376.000
20100226144500 377.000
20100226150000 378.000
20100226151500 377.000
20100226153000 378.000
20100226154500 379.000
20100226160000 379.000
20100226161500 380.000
20100226163000 380.000
20100226164500 381.000
20100226170000 381.000
20100226171500 382.000
20100226173000 382.000
20100226174500 383.000
20100226180000 383.000
20100226181500 384.000
20100226183000 384.000
20100226184500 384.000
20100226190000 385.000
20100226191500 385.000
20100226193000 386.000
20100226194500 387.000
20100226200000 387.000
20100226201500 388.000
20100226203000 388.000
20100226204500 388.000
20100226210000 389.000
20100226211500 389.000
20100226213000 389.000
20100226214500 389.000
20100226220000 390.000
20100226221500 390.000
20100226223000 391.000
20100226224500 392.000
20100226230000 392.000
20100226231500 393.000
20100226233000 393.000
20100226234500 394.000
20100227000000 395.000
20100227001500 395.000
20100227003000 396.000
20100227004500 397.000
20100227010000 397.000
20100227011500 398.000
20100227013000 398.000
20100227014500 399.000
20100227020000 399.000
20100227021500 399.000
20100227023000 400.000
20100227024500 401.000
20100227030000 401.000
20100227031500 402.000
20100227033000 402.000
20100227034500 403.000
20100227040000 404.000
20100227041500 405.000
20100227043000 405.000
20100227044500 406.000
20100227050000 407.000
20100227051500 407.000
20100227053000 408.000
20100227054500 408.000
20100227060000 409.000
20100227061500 410.000
20100227063000 410.000
20100227064500 411.000
20100227070000 411.000
20100227071500 412.000
20100227073000 413.000
20100227074500 413.000
20100227080000 414.000
20100227081500 415.000
20100227083000 415.000
20100227084500 416.000
20100227090000 417.000
20100227091500 417.000
20100227093000 418.000
20100227094500 419.000
20100227100000 420.000
20100227101500 420.000
20100227103000 421.000
20100227104500 421.000
20100227110000 422.000
20100227111500 423.000
20100227113000 423.000
20100227114500 424.000
20100227120000 425.000
20100227121500 425.000
